SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
2024-25,1630639,A.J. Lawson,TOR,26,18.7,109.7,111.1,-1.4,0.093,11.7,0.036,0.128,0.08,5.7,0.508,0.542,0.189,103.71,0.082
2024-25,1631260,AJ Green,MIL,73,22.7,114.0,107.6,6.4,0.086,18.6,0.011,0.087,0.051,6.9,0.612,0.621,0.123,100.84,0.058
2024-25,1642358,AJ Johnson,WAS,29,22.0,104.1,115.6,-11.5,0.178,22.3,0.011,0.073,0.042,10.3,0.441,0.48,0.173,100.83,0.053
2024-25,203932,Aaron Gordon,DEN,51,28.4,122.5,113.0,9.5,0.143,20.1,0.06,0.109,0.086,9.0,0.607,0.65,0.186,101.64,0.104
2024-25,1628988,Aaron Holiday,HOU,62,12.8,110.3,103.6,6.7,0.142,20.5,0.015,0.073,0.044,9.1,0.571,0.594,0.162,103.09,0.082
2024-25,1630174,Aaron Nesmith,IND,45,24.9,120.1,111.5,8.5,0.063,10.8,0.034,0.118,0.078,7.4,0.617,0.653,0.171,101.64,0.087
2024-25,1630598,Aaron Wiggins,OKC,76,22.9,120.7,106.6,14.2,0.102,13.8,0.046,0.113,0.081,7.1,0.577,0.596,0.2,101.91,0.105
2024-25,1641745,Adam Flagler,OKC,37,5.5,99.1,96.7,2.3,0.094,10.6,0.029,0.086,0.057,3.5,0.333,0.335,0.207,100.16,0.025
2024-25,1641766,Adama Sanogo,CHI,4,5.4,104.2,122.2,-18.1,0.067,11.1,0.217,0.053,0.143,11.1,0.571,0.571,0.145,103.82,0.078
2024-25,1641737,Adem Bona,PHI,58,15.6,107.4,114.0,-6.6,0.043,8.4,0.097,0.164,0.13,18.9,0.703,0.714,0.135,100.51,0.093
2024-25,1642349,Ajay Mitchell,OKC,36,16.6,110.0,100.2,9.7,0.153,22.1,0.028,0.08,0.053,10.0,0.557,0.587,0.159,100.63,0.082
2024-25,201143,Al Horford,BOS,60,27.6,119.6,108.1,11.5,0.102,19.6,0.046,0.165,0.106,7.0,0.547,0.563,0.136,97.75,0.091
2024-25,202692,Alec Burks,MIA,49,17.6,113.5,107.6,5.9,0.09,14.7,0.018,0.119,0.07,7.8,0.587,0.608,0.16,98.03,0.088
2024-25,1627936,Alex Caruso,OKC,54,19.3,117.5,102.5,15.0,0.171,26.9,0.035,0.108,0.072,7.3,0.541,0.568,0.147,102.7,0.101
2024-25,1642505,Alex Ducas,OKC,21,6.0,99.6,106.3,-6.7,0.058,12.5,0.06,0.119,0.088,10.0,0.567,0.583,0.115,102.63,0.065
2024-25,203458,Alex Len,LAL,46,8.3,101.4,118.9,-17.5,0.143,29.5,0.094,0.142,0.118,15.5,0.524,0.525,0.101,101.55,0.057
2024-25,1642024,Alex Reese,PHI,15,14.4,117.3,111.8,5.5,0.023,5.8,0.041,0.161,0.103,8.7,0.62,0.641,0.123,104.64,0.079
2024-25,1642259,Alex Sarr,WAS,67,27.1,102.7,116.4,-13.7,0.139,13.7,0.06,0.158,0.108,9.7,0.457,0.482,0.23,104.3,0.084
2024-25,1631214,Alondes Williams,LAC,1,3.7,171.4,85.7,85.7,0.333,33.3,0.0,0.0,0.0,0.0,1.25,1.25,0.286,90.4,0.4
2024-25,1630578,Alperen Sengun,HOU,76,31.5,114.9,107.4,7.6,0.238,19.6,0.099,0.21,0.153,10.2,0.505,0.545,0.259,99.47,0.153
2024-25,1641708,Amen Thompson,HOU,69,32.3,114.2,107.9,6.3,0.167,21.9,0.078,0.159,0.118,11.4,0.575,0.602,0.172,100.0,0.129
2024-25,1629599,Amir Coffey,LAC,72,24.3,109.1,110.6,-1.4,0.065,11.2,0.019,0.072,0.046,6.6,0.57,0.614,0.15,99.23,0.072
2024-25,203083,Andre Drummond,PHI,40,18.8,103.4,118.9,-15.5,0.07,9.4,0.134,0.288,0.205,15.2,0.506,0.535,0.183,98.83,0.109
2024-25,1641748,Andre Jackson Jr.,MIL,67,14.6,110.6,112.1,-1.5,0.109,23.8,0.066,0.114,0.091,16.6,0.553,0.554,0.115,101.48,0.051
2024-25,1629614,Andrew Nembhard,IND,65,28.9,115.5,110.2,5.3,0.225,31.4,0.018,0.093,0.057,10.8,0.506,0.545,0.163,101.31,0.081
2024-25,203952,Andrew Wiggins,MIA,60,30.7,109.4,111.7,-2.3,0.137,13.1,0.045,0.095,0.069,8.2,0.526,0.566,0.238,99.96,0.105
2024-25,1629014,Anfernee Simons,POR,70,32.7,108.8,113.4,-4.6,0.241,20.1,0.01,0.069,0.039,8.5,0.521,0.557,0.241,99.72,0.106
2024-25,1641710,Anthony Black,ORL,78,24.2,106.2,107.1,-0.9,0.201,22.2,0.026,0.1,0.061,12.8,0.473,0.521,0.19,97.83,0.084
2024-25,203076,Anthony Davis,DAL,51,33.4,113.3,112.9,0.5,0.182,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,0.179
2024-25,1630162,Anthony Edwards,MIN,79,36.3,116.2,111.4,4.8,0.209,14.8,0.021,0.131,0.077,10.3,0.547,0.595,0.307,98.27,0.14
2024-25,1630264,Anthony Gill,WAS,51,7.8,101.9,109.7,-7.8,0.059,11.9,0.042,0.111,0.077,7.4,0.545,0.586,0.124,101.23,0.071
2024-25,1641817,Anton Watson,NYK,9,2.5,103.9,119.2,-15.3,0.125,15.4,0.05,0.118,0.081,15.4,0.444,0.444,0.193,111.52,0.033
2024-25,1641810,Antonio Reeves,NOP,44,15.0,107.3,117.5,-10.2,0.089,11.8,0.026,0.07,0.047,9.1,0.558,0.579,0.183,101.12,0.072
2024-25,1630574,Ariel Hukporti,NYK,25,8.7,97.6,110.1,-12.4,0.075,15.9,0.066,0.151,0.112,30.4,0.677,0.654,0.113,102.57,0.048
2024-25,1642422,Armel Traore,LAL,9,7.4,81.9,119.3,-37.3,0.026,3.8,0.026,0.228,0.111,11.5,0.316,0.317,0.153,102.24,0.027
2024-25,1641709,Ausar Thompson,DET,59,22.5,113.1,109.2,4.0,0.139,18.2,0.081,0.139,0.11,10.8,0.547,0.568,0.185,102.76,0.104
2024-25,1630559,Austin Reaves,LAL,73,34.9,117.1,113.3,3.8,0.241,23.6,0.025,0.101,0.065,9.9,0.556,0.616,0.23,99.86,0.118
2024-25,1630245,Ayo Dosunmu,CHI,46,30.3,110.1,117.8,-7.7,0.21,27.4,0.018,0.09,0.054,9.1,0.561,0.585,0.163,104.63,0.084
2024-25,1628389,Bam Adebayo,MIA,78,34.3,110.9,110.8,0.1,0.204,19.2,0.069,0.214,0.141,9.2,0.521,0.561,0.232,97.02,0.137
2024-25,1631248,Baylor Scheierman,BOS,31,12.4,109.9,105.8,4.1,0.12,20.5,0.048,0.117,0.083,7.5,0.473,0.49,0.143,95.28,0.074
2024-25,1641767,Ben Sheppard,IND,63,19.5,111.2,113.4,-2.2,0.087,21.0,0.035,0.106,0.07,5.4,0.537,0.555,0.108,102.92,0.055
2024-25,1627732,Ben Simmons,LAC,51,22.0,111.7,113.5,-1.8,0.358,45.7,0.043,0.184,0.113,16.3,0.52,0.539,0.133,98.17,0.103
2024-25,1631097,Bennedict Mathurin,IND,72,29.9,113.8,112.2,1.6,0.09,10.7,0.041,0.133,0.088,10.6,0.516,0.579,0.222,101.52,0.092
2024-25,1641731,Bilal Coulibaly,WAS,59,33.0,104.5,118.3,-13.8,0.15,19.4,0.043,0.098,0.07,12.2,0.472,0.515,0.175,103.22,0.07
2024-25,202687,Bismack Biyombo,SAS,28,18.8,108.7,117.9,-9.2,0.079,16.9,0.08,0.207,0.144,14.8,0.588,0.576,0.124,100.23,0.08
2024-25,1631104,Blake Wesley,SAS,58,11.8,110.2,109.7,0.5,0.225,29.8,0.025,0.062,0.044,14.1,0.481,0.51,0.165,101.92,0.066
2024-25,1626171,Bobby Portis,MIL,49,25.4,114.1,110.8,3.4,0.126,13.2,0.071,0.235,0.156,7.2,0.52,0.542,0.234,101.2,0.131
