SEASON,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TO_RATIO,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
2019-20,0021901303,"Aug 11, 2020",WAS vs. MIL,L,29:13,100.0,116.7,-16.7,0.067,4.2,0.057,0.111,0.081,8.3,0.417,0.484,0.319,105.97,0.05
2019-20,0021901285,"Aug 09, 2020",WAS @ OKC,L,25:30,105.7,122.6,-17.0,0.067,7.1,0.111,0.167,0.133,7.1,0.364,0.446,0.197,99.76,0.088
2019-20,0021901278,"Aug 07, 2020",WAS @ NOP,L,37:30,110.7,109.5,1.2,0.083,10.0,0.027,0.135,0.081,5.0,0.656,0.681,0.191,107.54,0.144
2019-20,0021901263,"Aug 05, 2020",WAS vs. PHI,L,38:33,93.8,97.6,-3.7,0.074,13.3,0.049,0.143,0.096,0.0,0.227,0.303,0.143,101.48,0.038
2019-20,0021901252,"Aug 03, 2020",WAS vs. IND,L,34:04,98.5,118.8,-20.3,0.25,30.0,0.048,0.147,0.092,5.0,0.333,0.349,0.175,96.54,0.056
2019-20,0021901244,"Aug 02, 2020",WAS @ BKN,L,32:13,107.2,107.2,0.0,0.167,26.7,0.032,0.073,0.056,13.3,0.333,0.521,0.145,102.8,0.071
2019-20,0021901235,"Jul 31, 2020",WAS vs. PHX,L,29:47,91.3,110.3,-19.0,0.071,4.3,0.088,0.217,0.14,21.7,0.533,0.61,0.282,110.4,0.144
2019-20,0021900961,"Mar 10, 2020",WAS vs. NYK,W,28:35,114.3,110.9,3.3,0.118,18.2,0.0,0.25,0.135,9.1,0.667,0.773,0.132,106.64,0.149
2019-20,0021900951,"Mar 08, 2020",WAS vs. MIA,L,39:33,79.5,101.3,-21.8,0.15,25.0,0.021,0.156,0.075,8.3,0.0,0.0,0.107,94.66,-0.034
2019-20,0021900930,"Mar 06, 2020",WAS vs. ATL,W,32:52,114.7,104.5,10.2,0.08,18.2,0.133,0.125,0.129,9.1,0.0,0.193,0.118,98.58,0.022
2019-20,0021900925,"Mar 04, 2020",WAS @ POR,L,28:31,113.3,140.0,-26.7,0.19,23.5,0.028,0.143,0.07,0.0,0.364,0.431,0.183,100.99,0.069
2019-20,0021900916,"Mar 03, 2020",WAS @ SAC,L,30:14,126.1,125.0,1.1,0.143,17.6,0.05,0.208,0.136,11.8,0.722,0.799,0.197,108.77,0.137
2019-20,0021900901,"Mar 01, 2020",WAS @ GSW,W,29:47,118.5,101.6,16.9,0.05,7.7,0.04,0.269,0.157,7.7,0.563,0.677,0.174,103.95,0.138
2019-20,0021900885,"Feb 28, 2020",WAS @ UTA,L,32:06,117.4,117.4,0.0,0.0,0.0,0.111,0.091,0.101,8.3,0.65,0.689,0.148,103.18,0.125
2019-20,0021900866,"Feb 26, 2020",WAS vs. BKN,W,26:59,110.3,112.3,-1.9,0.0,0.0,0.033,0.111,0.07,14.3,0.7,0.697,0.212,102.29,0.119
2019-20,0021900851,"Feb 24, 2020",WAS vs. MIL,L,46:06,110.8,113.0,-2.2,0.057,11.8,0.021,0.086,0.049,5.9,0.375,0.436,0.134,105.16,0.04
2019-20,0021900845,"Feb 23, 2020",WAS @ CHI,L,28:30,113.8,107.7,6.2,0.182,23.5,0.0,0.32,0.157,23.5,0.5,0.563,0.186,109.47,0.103
2019-20,0021900827,"Feb 21, 2020",WAS vs. CLE,L,30:10,95.5,107.6,-12.1,0.176,17.6,0.065,0.174,0.101,0.0,0.577,0.612,0.167,105.02,0.225
