SEASON,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2019-20,"Aug 11, 2020",WAS vs. MIL,L,29,20,6,18,0.333,3,9,0.333,5,6,0.833,2,3,5,1,0,0,2,4,-14
2019-20,"Aug 09, 2020",WAS @ OKC,L,26,11,4,11,0.364,0,1,0.0,3,3,1.0,4,4,8,1,0,0,1,1,-9
2019-20,"Aug 07, 2020",WAS @ NOP,L,37,23,10,16,0.625,1,2,0.5,2,2,1.0,1,5,6,2,0,0,1,1,1
2019-20,"Aug 05, 2020",WAS vs. PHI,L,39,8,2,11,0.182,1,1,1.0,3,5,0.6,2,6,8,2,1,0,0,2,-4
2019-20,"Aug 03, 2020",WAS vs. IND,L,34,9,4,12,0.333,0,1,0.0,1,2,0.5,2,5,7,6,0,0,1,3,-15
2019-20,"Aug 02, 2020",WAS @ BKN,L,32,9,2,6,0.333,0,0,0.0,5,6,0.833,1,3,4,4,1,1,2,3,0
2019-20,"Jul 31, 2020",WAS vs. PHX,L,30,21,8,15,0.533,0,0,0.0,5,5,1.0,3,5,8,1,1,0,5,2,-12
2019-20,"Mar 10, 2020",WAS vs. NYK,W,29,12,4,6,0.667,0,1,0.0,4,4,1.0,0,7,7,2,0,2,1,1,1
2019-20,"Mar 08, 2020",WAS vs. MIA,L,40,0,0,8,0.0,0,2,0.0,0,0,0.0,1,5,6,3,1,0,1,4,-17
2019-20,"Mar 06, 2020",WAS vs. ATL,W,33,3,0,6,0.0,0,0,0.0,3,4,0.75,4,4,8,2,1,0,1,1,8
2019-20,"Mar 04, 2020",WAS @ POR,L,29,11,4,11,0.364,0,1,0.0,3,4,0.75,1,3,4,4,1,0,0,2,-16
2019-20,"Mar 03, 2020",WAS @ SAC,L,30,20,6,9,0.667,1,2,0.5,7,8,0.875,1,5,6,3,2,0,2,3,2
2019-20,"Mar 01, 2020",WAS @ GSW,W,30,15,4,8,0.5,1,2,0.5,6,7,0.857,1,7,8,1,0,0,1,1,12
2019-20,"Feb 28, 2020",WAS @ UTA,L,32,15,6,10,0.6,1,2,0.5,2,2,1.0,4,3,7,0,3,0,1,2,0
2019-20,"Feb 26, 2020",WAS vs. BKN,W,27,17,6,10,0.6,2,2,1.0,3,5,0.6,1,3,4,0,0,0,2,3,0
2019-20,"Feb 24, 2020",WAS vs. MIL,L,46,12,4,12,0.333,1,2,0.5,3,4,0.75,1,3,4,2,1,0,1,1,0
2019-20,"Feb 23, 2020",WAS @ CHI,L,29,10,4,8,0.5,0,1,0.0,2,2,1.0,0,8,8,4,1,0,4,3,4
2019-20,"Feb 21, 2020",WAS vs. CLE,L,30,17,7,13,0.538,1,3,0.333,2,2,1.0,3,4,7,3,2,0,0,2,-8
2019-20,"Feb 12, 2020",WAS @ NYK,W,23,8,3,7,0.429,0,1,0.0,2,3,0.667,1,4,5,1,0,0,1,3,14
2019-20,"Feb 11, 2020",WAS vs. CHI,W,32,20,7,12,0.583,0,0,0.0,6,6,1.0,2,2,4,3,2,2,2,2,20
2019-20,"Feb 09, 2020",WAS vs. MEM,L,25,12,5,13,0.385,1,2,0.5,1,2,0.5,3,8,11,1,0,0,0,3,-5
2019-20,"Feb 07, 2020",WAS vs. DAL,W,29,17,7,12,0.583,2,4,0.5,1,2,0.5,1,5,6,1,2,0,2,0,-7
